2019-01-10 06:28:36 [tencent.spiders.hr] WARNING: {'title': '22989-腾讯云音视频高级开发工程师（深圳）', 'position': '技术类', 'publish_date': '2019-01-10'}
2019-01-10 06:28:36 [tencent.spiders.hr] WARNING: {'title': '18427-理财通开发工程师', 'position': '技术类', 'publish_date': '2019-01-10'}
2019-01-10 06:28:36 [tencent.spiders.hr] WARNING: {'title': '29777-腾讯云云市场前端高级工程师 （深圳）', 'position': '技术类', 'publish_date': '2019-01-10'}
2019-01-10 06:28:36 [tencent.spiders.hr] WARNING: {'title': '15614-技术美术（上海）', 'position': '设计类', 'publish_date': '2019-01-10'}
2019-01-10 06:28:36 [tencent.spiders.hr] WARNING: {'title': '15614-SLG手游 2d场景原画设计师（上海）', 'position': '设计类', 'publish_date': '2019-01-10'}
2019-01-10 06:28:36 [tencent.spiders.hr] WARNING: {'title': '15614-UE4手游客户端开发（上海）', 'position': '技术类', 'publish_date': '2019-01-10'}
2019-01-10 06:28:36 [tencent.spiders.hr] WARNING: {'title': '15618-客户端开发工程师（上海）', 'position': '技术类', 'publish_date': '2019-01-10'}
2019-01-10 06:28:36 [tencent.spiders.hr] WARNING: {'title': '22989-大数据和人工智能交付架构师（北京/深圳）', 'position': '技术类', 'publish_date': '2019-01-10'}
2019-01-10 06:28:36 [tencent.spiders.hr] WARNING: {'title': '22989-大数据和人工智能交付架构师（北京/深圳）', 'position': '技术类', 'publish_date': '2019-01-10'}
2019-01-10 06:28:36 [tencent.spiders.hr] WARNING: {'title': '22989-高级Linux内核/虚拟化运维工程师（深圳）', 'position': '技术类', 'publish_date': '2019-01-10'}
2019-01-10 06:28:37 [tencent.spiders.hr] WARNING: {'title': '22989-大数据和人工智能交付架构师（北京/深圳）', 'position': '技术类', 'publish_date': '2019-01-10'}
2019-01-10 06:28:37 [tencent.spiders.hr] WARNING: {'title': '22989-大数据和人工智能交付架构师（北京/深圳）', 'position': '技术类', 'publish_date': '2019-01-10'}
2019-01-10 06:28:37 [tencent.spiders.hr] WARNING: {'title': '22989-高级Linux内核/虚拟化运维工程师（深圳）', 'position': '技术类', 'publish_date': '2019-01-10'}
2019-01-10 06:28:37 [tencent.spiders.hr] WARNING: {'title': '25666-游戏云KA sales', 'position': '市场类', 'publish_date': '2019-01-10'}
2019-01-10 06:28:37 [tencent.spiders.hr] WARNING: {'title': '25666-游戏云KA sales', 'position': '市场类', 'publish_date': '2019-01-10'}
2019-01-10 06:28:37 [tencent.spiders.hr] WARNING: {'title': 'CSIG17-云测试高级工程师（AI和智能硬件相关）（深圳）', 'position': '技术类', 'publish_date': '2019-01-10'}
2019-01-10 06:28:37 [tencent.spiders.hr] WARNING: {'title': '30628-腾讯社交广告平台项目经理（北京）', 'position': '产品/项目类', 'publish_date': '2019-01-10'}
2019-01-10 06:28:37 [tencent.spiders.hr] WARNING: {'title': '15575-《王者荣耀》动画影视主编（成都）', 'position': '内容编辑类', 'publish_date': '2019-01-10'}
2019-01-10 06:28:37 [tencent.spiders.hr] WARNING: {'title': '15575-《王者荣耀》资深美术宣传图原画设计师（成都）', 'position': '设计类', 'publish_date': '2019-01-10'}
2019-01-10 06:28:37 [tencent.spiders.hr] WARNING: {'title': 'AQ-司法协作经理（上海）', 'position': '职能类', 'publish_date': '2019-01-10'}
2019-01-10 06:28:37 [tencent.spiders.hr] WARNING: {'title': '15575-《王者荣耀》资深美术宣传图原画设计师（成都）', 'position': '设计类', 'publish_date': '2019-01-10'}
2019-01-10 06:28:37 [tencent.spiders.hr] WARNING: {'title': 'AQ-司法协作经理（上海）', 'position': '职能类', 'publish_date': '2019-01-10'}
2019-01-10 06:28:37 [tencent.spiders.hr] WARNING: {'title': 'CSIG16-地图大数据实验室算法工程师', 'position': '技术类', 'publish_date': '2019-01-10'}
2019-01-10 06:28:37 [tencent.spiders.hr] WARNING: {'title': 'CSIG16-大数据后台研发工程师', 'position': '技术类', 'publish_date': '2019-01-10'}
2019-01-10 06:28:37 [tencent.spiders.hr] WARNING: {'title': '27564-足球类游戏运营（深圳）', 'position': '产品/项目类', 'publish_date': '2019-01-10'}
2019-01-10 06:28:37 [tencent.spiders.hr] WARNING: {'title': '27564-篮球类游戏运营（深圳）', 'position': '产品/项目类', 'publish_date': '2019-01-10'}
